分類	エリア	施設コード	施設名	テキスト	総合	サービス	立地	部屋	設備・アメニティ	風呂	食事	旅行の目的	同伴者	宿泊年月	投稿者	年代	性別	投稿回数
B_ビジネス	06_札幌	813	新さっぽろアークシティホテル	トリプルで予約しておりましたが、チェックインした部屋はダブルでした。すぐ対応していただきましたが、予約など、どのように確認しているのか？不安になりました。駐車場無料で良かったのです。	3	2	4	2	3	2	4	レジャー	家族	Sun Aug 16 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	136840	ホテルノースゲート札幌	タクシー乗車時にタクシー番号を書いたカードをいただけるサービス、とても良いですね。チェックインもスムーズで、いつもながら快適でした。四角いお風呂が大好きでいつもゆったり温まっていますが、さすがに最近は隅々に黒ずみがチラホラ。メンテナンス期待します。	4	4	3	4	5	4	-	レジャー	一人	Wed May 20 00:00:00 JST 2015	ｔｋｋｈｍｋ	50代	女性	2
B_ビジネス	06_札幌	142610	ネストホテル札幌駅前	朝食は口コミの通り美味しかったですが、並んで待ったのがイマイチでした。混むなら混むとチェックインの際に言っておいて頂ければ良いのですが(余裕を持って行動するので)、そういった気配りが無いのは残念ですね。またおそらく中国系の方たちが多く宿泊していて、私が料理を取りに行っている間に自分が飲んだジュースのコップを勝手に置いていったりしてマナーが最悪でした。	3	3	3	3	3	3	4	ビジネス	一人	Wed Jul 29 00:00:00 JST 2015	BlackBass	40代	男性	192
B_ビジネス	06_札幌	72781	ＪＲイン札幌	GWに利用しました。立地は駅近くでとてもよく、荷物がたくさんあっても、あまり困らなかったです。ホテル近くにはコンビニが3件あったり、スタバがあったりと、とても便利でした！朝ごはんが食べられるのはとても助かります。パンもサラダも美味しかったです。また利用します(*^_^*)	4	4	5	4	4	3	5	レジャー	恋人	Sat May 02 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	163	ニューオータニイン札幌	時計台や大通公園の徒歩で行けて便利でした。	5	5	5	5	5	-	-	レジャー	家族	Wed May 06 00:00:00 JST 2015	両さん0926	50代	男性	77
B_ビジネス	06_札幌	559	センチュリーロイヤルホテル	駅への接続がとても便利だし、サービスもとっても良かったです。朝食は和食を選び、朝からしっかりと美味しいものをいただきました。また機会があれば泊まりたいです。	5	5	5	5	5	-	5	ビジネス	一人	Wed Sep 16 00:00:00 JST 2015	gori0909	50代	男性	84
B_ビジネス	06_札幌	1636	札幌クラークホテル	札幌駅から地下鉄で一駅ですが、歩ける距離でした。部屋の椅子が立派で、とても良いお部屋でした。また利用したいです。	5	4	4	5	4	4	-	レジャー	一人	Fri Feb 20 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	5253	ホテルニューバジェット札幌	部屋の清掃もゆきとどいていて気持ち良く宿泊させて頂きました。朝食のパンもとても美味しかったです。	4	4	3	3	4	-	4	ビジネス	一人	Fri Apr 24 00:00:00 JST 2015	はじ-め	40代	男性	5
B_ビジネス	06_札幌	4685	ホテルパールシティ札幌	ドームへの移動のため、地下鉄駅近くのホテルが良いと思い選びました。コンビニも近くにあるので、朝食なしでも問題なかったです。部屋の掃除も行き届いていたし、広さも十分でした。気になったのは、エレベーターの音。いかにも古いって感じの音が、乗っていて大丈夫かしらと不安にさせました。それ以外は快適でした。	3	4	5	4	5	3	-	レジャー	一人	Mon Jun 01 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	18175	Ｒ＆Ｂホテル札幌北３西２	軽い朝食ができたのが良いですシンプルで手軽なく宿泊施設でした	3	3	4	4	3	2	3	レジャー	友達	Tue Apr 07 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	79254	ホテル京阪札幌	大浴場は　狭いです	4	3	4	4	3	3	4	ビジネス	一人	Wed May 27 00:00:00 JST 2015	ちぐ1137	40代	男性	29
B_ビジネス	06_札幌	104743	三井ガーデンホテル札幌	残念.前回の宿泊は、大変満足でした。今回は、前回のプランが大変良かったのですが、今回も美顔スチーム等とあるとおもいましが、用意されておりませんでした。同伴者のレディスに用意してほしかったです。水もなっかた。同じホテルなのに対応が違うなっか変ですね。でも又利用しますよ。良い企画をお願いします。	3	3	5	2	2	4	3	その他	家族	Tue Jul 14 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	144476	ＳＰＡ　ＨＯＴＥＬ　ソーレ（ＳＯＬＥ）すすきの	久しぶりの利用です。今回はデラックスタイプなのでロッカーも近く良かったです。お風呂もゆっくりでき特に露天がぬるく最高でした。漫画が置いてあるリクライニングスペースですが新刊が少ない様に感じました。	4	3	5	4	3	5	3	レジャー	友達	Thu Sep 17 00:00:00 JST 2015	きゃんぼ	40代	男性	43
B_ビジネス	06_札幌	18390	ホテルオークラ札幌	従業員の教育が素晴らしく、どの係りの方も心遣いが出来ており快適に過ごすことが出来ました。一泊しかしませんでしたが、丁寧に接して頂きとても気持ちが良かったです。タクシーの手配もお願いしましたが、何も言わずともこちらの要求に答えてくださる運転手さんを呼んでくださり感激しました。正規料金が高くともまた泊まりたいと思わせてくれるホテルです。	5	5	4	4	3	1	5	レジャー	家族	Wed Aug 26 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	7523	ホテルモントレ　エーデルホフ札幌	部屋は思っていたより広くて空気清浄機もあったので快適に過ごすことができました。また出張の際には利用させてもらいます。	4	3	3	3	3	5	4	ビジネス	仕事仲間	Tue Apr 07 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	72781	ＪＲイン札幌	初めて利用しました。お部屋が綺麗に清掃され、窓際の大きい机とライトは書き物をするのに助かりました。朝食がサービスなので仕方ないにしても、毎回パン、サラダ、飲み物と同じ物でウインナーあたりがあれば…と思いました。他は最高に良かったので、次回研修の予約も入れました。	5	5	5	5	5	4	4	ビジネス	一人	Tue Jan 13 00:00:00 JST 2015	KaJi ママ	50代	女性	2
B_ビジネス	06_札幌	763	札幌パークホテル	シルバーウィーク期間中の家族旅行で北海道入り一日目に大変良い印象を受けました。立地、部屋、サービスは大変満足のいくもので、翌朝のサンドイッチボックスはレンタカー移動にピッタリの朝食でした。	5	5	5	5	4	3	-	レジャー	家族	Fri Sep 18 00:00:00 JST 2015	伸介ちゃん	50代	男性	8
B_ビジネス	06_札幌	5398	ホテル　札幌サンプラザ	駐車場が屋内なので、天気の良くない日は大変助かる。	4	4	4	4	4	4	4	レジャー	一人	Fri Dec 18 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	844	ラッソ　アイスバーグホテル	ポイント10％＆QUOカード1000円分でコストパフォーマンスはよいです。	3	3	3	3	2	3	4	レジャー	一人	Mon Apr 06 00:00:00 JST 2015	5-Stars	30代	男性	12
B_ビジネス	06_札幌	1636	札幌クラークホテル	北12条駅から近く、札幌駅から歩いてもそこまで時間もかからずに着けました。部屋もきれいで良かったです♪忘れ物をしたのですが、電話連絡もしてくれて助かりました！	5	5	5	5	4	4	-	その他	一人	Tue Feb 10 00:00:00 JST 2015	ラッキーガール1103	30代	女性	1
B_ビジネス	06_札幌	791	ネストホテル札幌大通	朝食バイキングは和食メインでとても美味しかったです．建物や客室は古い感じでした．宿泊した部屋は禁煙ルームのはずですが，なぜかタバコの不快な匂いと焦げた跡が…．バスルームが一番老朽化を隠せていなかったですね．	2	3	3	1	3	-	4	ビジネス	一人	Mon Sep 28 00:00:00 JST 2015	投稿者	na	na	na
B_ビジネス	06_札幌	37923	東横イン札幌すすきの南	お盆の墓参りと兄弟が集まるので札幌に３泊しました。ホテルはススキノに近いですが静かな場所にありユックリできました。良かったのは札幌駅とホテルをバスが運行してることです。あと飲まなかったですがフロントの横のバーでビールを２００円で飲めるのはいいですね	4	4	4	3	4	3	3	レジャー	家族	Tue Aug 11 00:00:00 JST 2015	きゃんぼ	40代	男性	43
