分類	エリア	施設コード	施設名	テキスト	総合	サービス	立地	部屋	設備・アメニティ	風呂	食事	旅行の目的	同伴者	宿泊年月	投稿者	年代	性別	投稿回数
A_レジャー	01_登別	28637	登別温泉　登別万世閣	何時も定山渓のミリオーネを利用しているが、家族が「何時も定山渓では飽きた」と言うので登別に足を延ばしました。子供たちがビュッフェを楽しみにしているので迷う事無くミリオーネを選択しました。ミリオーネのビュッフェは、同価格帯の他のホテルより抜きんでていると思います。海外の宿泊客が多いとの事で眺望に関係なく静かな部屋をリクエストしたが、リクエストに副った部屋に案内されて感謝しています。大浴場は、定山渓の方は、年々清掃が甘くなっているのか？足の裏がヌルヌルする感じが気になりますが、登別はそんな事も無く白濁したお湯が、温泉らしく「さすが登別の湯」といった感じです。ただ一点だけチェックイン時に２０分から３０分待たされた。これには閉口。	4	2	5	4	4	4	5	レジャー	家族	Mon Aug 10 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	29995	洞爺湖温泉　洞爺山水ホテル　和風	良かったです。	4	4	5	4	4	5	4	レジャー	家族	Sun Mar 29 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	8565	ホテル室蘭ヒルズ（旧：ホテルさくらイン室蘭／ＢＢＨホテルグループ）	部屋も大変綺麗で、ゆっくり出来ました。また朝御飯も良かったです。また泊まりたいホテルです。	5	4	5	5	5	4	5	レジャー	恋人	Tue Sep 22 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	39175	登別温泉　登別グランドホテル	フロントおよび従業員の態度二度目の宿泊でしたがさらに悪かった。安いプランの客には態度が悪い。	1	1	3	1	-	3	2	その他	仕事仲間	Thu Jul 23 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	54861	登別カルルス温泉　ホテル岩井	今回は8/4から一泊、温泉好きの友人と宿泊しました。全国各地の温泉を巡りましたが、カルルス温泉は本州から遠く、念願叶っての宿泊でした。他の旅館と比較して、下記の通りの感想です。【良かった点】・部屋食でしたので、友人とゆっくり食事を楽しむことが出来ました。・部屋は小綺麗な感じで清掃も行き届いており、好感が持てます。・温泉は癖のない単純泉で、湯あたりも非常によく楽しむことが出来ました。・楽天経由の予約で日本酒/お茶/ジュースのサービスがあり嬉しかったです。・山奥で自然豊かな環境で良かったです。【悪かった点】・チェックインが18時までと、遠方からではかなり厳しい時間です。※本州からですと、遅くとも東京駅を朝8時台の新幹線でないと、送迎門限の17時半には間に合いません…（27年8月時点）・電話応対の際も、列車都合を考慮頂ければ対応に満足出来ました。・当日は高校生の部活合宿と重なってしまいました。出来れば一般客との階を分離して頂きたかったです。・食事の際に別料金で飲み物を頼みたかったです。・部屋にエアコンはありません。当日は過去最高レベルでの猛暑となり、出来れば事前に部屋に扇風機を入れて欲しかったです。（リクエストで入れてもらえましたが…）・スタッフ呼び出しの館内放送が朝7時過ぎからあり、ちょっと興ざめです…。・食事、温泉、TV番組表等の案内が不足していると思います。食事と温泉はアピールポイントです。値段相応分ですが、サービスレベルは民宿です。もう少し細やかな面が目立てば、リピートしたいのですが…期待しています。	3	3	3	3	3	4	3	レジャー	友達	Tue Aug 04 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	12568	登別温泉　ホテル　まほろば	泉質も湯船の数も多く、滑り台もあり、子どもも一緒に楽しめました。ゲームセンターもたくさんのゲームがあり喜んでました。今回はバイキング重視で宿泊したのですが、内容もよく、夕食のステーキが柔らかくて美味しかったです！カニは三種がひとつの器に盛られている状態でしたが、バラバラに盛られていたらいいのになー。と思いました。他の方のレビューでカニがしょっぱいとありましたが、確かにズワイガニがしょっぱかったなーと思いましたが、しょっぱくて食べられない！とはなりませんでした。おでんの牛すじがとろとろだったし、朝食のフレンチトースト、だし巻き卵も美味しかったです！すごく満足しました。レストランの入口にいたスタッフの方がすごく親切で、途中子どもがお手洗いへ退席したときも丁寧な対応をしていただきました。部屋は大部屋を利用したのですが、二つの和室を一つに繋げたタイプで、テレビやトイレが二つあり、便利でした。ただ冷蔵庫と金庫がひとつしかなく、大人6人、子ども１人の飲み物や貴重品を入れるには容量が足りなかったです。あと製氷機が一階にしかないのが不便でした。お部屋には加湿器があったことに感動しました！父の還暦祝いだったため、ちゃんちゃんこも貸していただきました。無料なのがありがたかったです。家族も満足してくれて、すごく良い時間が過ごせました。また是非宿泊したいです。	5	5	4	4	4	5	5	レジャー	家族	Sat Feb 07 00:00:00 JST 2015	ちぇぶろぺ	30代	女性	1
A_レジャー	01_登別	5500	登別　石水亭	お湯はさすがに登別！今回は貸し切り風呂も使いましたがこの貸し切り風呂も広く豪華で、大浴場は少しぬるくて不満が残りましたが貸し切り風呂の方は温度も丁度良く満足でした。立地は登別に行き慣れた方はご存じと思いますがメインストリートから少し離れますので歩き回る方は不便です。徒歩では若干辛いくらい離れます。そして野口観光さん！食事が悪くなりすぎじゃないですか？！これは野口観光のホテル全般に言えますが年々質が下がってるような気がしてなりません。	4	4	2	4	3	5	2	レジャー	恋人	Mon Nov 30 00:00:00 JST 2015	Mactools	50代	男性	7
A_レジャー	01_登別	15606	ザ・ウィンザーホテル洞爺　リゾート＆スパ	２度目の宿泊でしたが、全てが満足でした。このホテルで過ごす時間は本当に贅沢で、何度でも来たくなる思いです。またの時も楽しみにしています。	5	5	5	5	5	5	5	レジャー	一人	Fri Aug 14 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	30109	登別温泉　第一滝本館	挨拶しない従業員が多いです。新しくなったレストランですが、作りは良かったですが食材を取るのに通路が狭く取りづらい、お年寄りには大変だと思います。食べ物はリニューアル前の方が美味しかったです。それが分かるのが食べ物が偏って凄い残っていました。もう少しお客目線でリニューアルして欲しかったです。	2	3	3	2	2	3	2	レジャー	家族	Sun Apr 26 00:00:00 JST 2015	投稿者	na	na	na
A_レジャー	01_登別	15606	ザ・ウィンザーホテル洞爺　リゾート＆スパ	昨年と比べると、少し変わったように感じましたがどうですか? 料理、サービスに特に感じました。	4	3	4	4	3	3	3	レジャー	家族	Wed Jun 03 00:00:00 JST 2015	投稿者	na	na	na
